#date,total,github-unique,github-dupe,other,none
2019-12-05,690,349,163,79,99
2019-12-06,692,350,163,79,100
2019-12-07,695,352,163,79,101
2019-12-08,695,350,164,79,102
2019-12-09,695,351,164,79,101
2019-12-10,696,352,164,79,101
2019-12-11,697,352,164,79,102
2019-12-12,689,353,164,79,93
2019-12-13,690,354,165,79,92
2019-12-14,690,354,165,79,92
2019-12-15,690,354,164,79,93
2019-12-16,691,356,164,79,92
2019-12-17,691,356,163,80,92
2019-12-18,690,355,163,80,92
2019-12-19,691,357,162,80,92
2019-12-20,699,359,169,80,91
2019-12-21,700,359,170,80,91
2019-12-22,700,359,170,80,91
2019-12-23,703,360,172,80,91
2019-12-24,706,359,176,80,91
2019-12-25,706,359,176,80,91
2019-12-26,706,360,175,80,91
2019-12-27,708,362,175,80,91
2019-12-28,713,363,175,81,94
2019-12-29,713,363,175,81,94
2019-12-30,712,363,175,81,93
2019-12-31,713,363,175,81,94
2020-01-01,713,363,175,81,94
2020-01-02,722,363,175,80,104
2020-01-03,722,363,175,80,104
2020-01-04,724,364,176,80,104
2020-01-05,726,365,176,81,104
2020-01-06,727,365,176,81,105
2020-01-07,727,365,176,81,105
2020-01-08,729,366,176,82,105
2020-01-09,729,366,176,82,105
2020-01-10,732,368,176,82,106
2020-01-11,732,368,176,82,106
2020-01-12,732,368,176,82,106
2020-01-13,733,369,176,82,106
2020-01-14,733,370,176,82,105
2020-01-15,731,372,176,77,106
2020-01-16,731,373,175,77,106
2020-01-17,732,374,175,77,106
2020-01-18,733,374,176,77,106
2020-01-19,733,374,176,77,106
2020-01-20,734,373,176,79,106
2020-01-21,735,374,176,79,106
2020-01-22,736,375,176,79,106
2020-01-23,0,0,0,0,0
2020-01-24,739,377,176,79,107
2020-01-25,740,378,176,79,107
2020-01-26,740,378,176,79,107
2020-01-27,740,378,176,79,107
2020-01-28,741,378,176,79,108
2020-01-29,742,378,177,79,108
2020-01-30,742,378,177,79,108
2020-01-31,743,378,177,80,108
2020-02-01,744,379,177,80,108
2020-02-02,744,379,177,80,108
2020-02-03,744,379,177,80,108
2020-02-04,744,379,177,80,108
2020-02-05,744,379,177,80,108
2020-02-06,746,379,177,82,108
2020-02-07,745,379,176,82,108
2020-02-08,746,379,177,82,108
2020-02-09,746,379,177,82,108
2020-02-10,746,379,177,82,108
2020-02-11,746,378,176,84,108
2020-02-12,746,378,176,84,108
2020-02-13,746,378,176,84,108
2020-02-14,747,378,176,85,108
2020-02-15,747,378,176,85,108
2020-02-16,747,378,176,85,108
