#function,stars,watchers,forks,language
sns2telegram,4,1,0,Go
aws-serverless-financial-functions-npv,35,21,7,Python
aws-serverless-financial-functions-sln,35,21,7,Python
ServerlessCron,63,6,24,Makefile
human-trafficking-goods-indicator-api,0,0,0,Python
ThundraNodeJSHelloWorld,5,2,3,JavaScript
codepipeline-s3-objects-public-read-multi-buildartifact,0,1,0,JavaScript
aws-serverless-financial-functions-ppmt,35,21,7,Python
fqdnService,0,10,0,TypeScript
traffic-cop-query-engine,3,3,2,C++
Parameter-Store-ECS-Updater-and-Deployer,2,0,0,Go
amazon-cognito-passwordless-facial-rekognition-auth,3,2,0,JavaScript
platform-authorizer,3,4,1,JavaScript
lambda-edge-logs-aggregator,2,1,0,Shell
MedPal,1,0,0,JavaScript
text2event,0,0,0,JavaScript
ALB-Lambda-Target-BinaryResponse,193,22,59,Java
Cleaner,0,1,0,Python
codepipeline-s3-objects-public-read,0,1,2,JavaScript
detect-stack-drifts,3,1,0,Python
exif-reader,1,1,2,Perl
kim-demo2,1,2,3,JavaScript
CitizenDispatch,3,0,1,JavaScript
ec2-spot-interruption-logging-insights,511,66,159,Python
aws-serverless-financial-functions-nper,35,21,7,Python
s3-signed-urls,3,1,0,JavaScript
aws-serverless-financial-functions-irr,35,21,7,Python
dynamodb-scaling-event-to-datadog,0,1,0,Python
serverless-uptime-monitor,0,1,0,JavaScript
CopyToBucket,0,0,0,JavaScript
Slack-Translate,0,0,0,JavaScript
sfn-callback-urls,29,1,1,Python
buildkite-serverless-agent,10,0,2,Go
cloudwatch-logs-janitor,1,0,0,Python
logs-insights-to-metric,0,1,0,None
lambda-logs-athena-example,0,1,0,Python
aws-serverless-financial-functions-mirr,35,21,7,Python
ALB-Lambda-Target-UploadFiletoS3,193,22,59,Java
api-gateway-component,0,2,0,None
api-lambda-send-templated-email-ses,3,2,0,JavaScript
dynamodb-table-storage-metrics,0,1,0,Python
lambda-logs-event-source,0,4,0,JavaScript
aws-console-sign-in-to-telegram,0,1,0,Python
S3-Auto-Translator,1,1,0,JavaScript
aws-private-ca-policy-venafi,3,5,1,Go
age-nudity-recognizer,0,1,0,Python
aws-serverless-financial-functions-xnpv,35,21,7,Python
acme-cert-updater,3,2,0,Python
ExpiryChecker,0,0,0,JavaScript
timestamp-custom-resource,0,1,0,Python
serverless-data-pipeline,7,2,0,Python
github-webhook-slack-notifier,0,1,0,JavaScript
sns-to-telegram,0,0,0,Go
GetMetricWidgetImageAndNotifySlack,0,1,0,Python
aws-bills-to-telegram,1,1,0,Python
cloudwatch-loggly-forwarder,10,12,0,Ruby
aws-serverless-financial-functions-nominal,35,21,7,Python
aws-serverless-financial-functions-rate,35,21,7,Python
aws-serverless-financial-functions-fvschedule,35,21,7,Python
custom-resources-amplify-console,0,1,0,Python
aws-serverless-website-canary,2,1,0,JavaScript
CopyRepoToCodeCommit,0,0,0,Python
ecs-task-stats-logger,100,13,63,Python
signalfx-enhanced-rds-metrics-encrypted,4,33,1,Python
CodePipelineSlackNotifier,59,2,24,Shell
meta-codepipeline,0,1,0,Shell
TwilioMessageReceiver,10,1,2,None
IoT-Session-Feedback,0,0,0,JavaScript
ssm-parameters-getter-lambda,0,0,0,JavaScript
ecs-svc-custom-metrics-logger,100,13,63,Python
dynamic-security-group-builder,22,2,8,Makefile
AIImageProcessor,1,0,0,JavaScript
aws-serverless-financial-functions-effect,35,21,7,Python
